"地域","系统","实例规格","按量目录价","包月目录价","按量折扣价","包月折扣价","1年付总价","包周价格","按量月价(30天)","3年付总价","5年付总价","架构","处理器","vCPUs","内存(GiB)","处理器主频/睿频","内网收发包","内网带宽","GPU/FPGA"
"中国（香港）","windows","ecs.u2a-c1m2.8xlarge","17.9752","10985.96","17.9752","10985.96","100191.94","3076.07","12942.14","189837.36","210930.4","x86","AMD EPYC",32,64,0,3000000,8192000,""
"中国（香港）","windows","ecs.c8i.8xlarge","20.053679","13333.62","17.847774","13333.62","112002.44","3733.42","12850.40","216004.72","240005.23","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",32,64,3.2,6000000,20480000,""
"中国（香港）","windows","ecs.u2i-c1m2.8xlarge","18.785","11966.12","18.785","11966.12","109131.06","3350.52","13525.20","206774.64","229749.6","x86","Intel(R) Xeon(R) Platinum",32,64,0,4000000,16384000,""
"中国（香港）","windows","ecs.c8a.8xlarge","18.7215","11812.74","16.662135","11812.74","99227.01","3307.57","11996.74","191366.37","212629.3","x86","AMD EPYC™ Genoa 9T24",32,64,3.7,3000000,10240000,""
"中国（香港）","windows","ecs.g8ine.8xlarge","24.94381","16412.73","24.94381","16412.73","196952.73","4595.57","17959.54","590858.19","984763.65","x86","Intel Xeon(SPR/EMR) Platinum 8475B/8575C",32,128,3.2,10000000,45056000,""
"中国（香港）","windows","ecs.u2a-c1m4.8xlarge","19.9101","11938.62","19.9101","11938.62","108880.21","3342.81","14335.27","206299.34","229221.49","x86","AMD EPYC",32,128,0,3000000,8192000,""
"中国（香港）","windows","ecs.hfg8i.8xlarge","23.785073","15737.82","23.785073","15737.82","132197.69","4406.59","17125.25","254952.7","283280.78","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",32,128,3.9,7500000,32768000,""
"中国（香港）","windows","ecs.g8a.8xlarge","20.8323","12825.95","18.540747","12825.95","107738.0","3591.27","13349.34","207780.43","230867.14","x86","AMD EPYC™ Genoa 9T24",32,128,3.7,3000000,10240000,""
"中国（香港）","windows","ecs.g8y.8xlarge","18.0804","11360.23","18.0804","11360.23","95425.94","3180.86","13017.89","184035.73","204484.15","arm","YiTian710",32,128,2.75,5000000,16384000,""
"中国（香港）","windows","ecs.u2i-c1m4.8xlarge","20.9683","13446.95","20.9683","13446.95","122636.15","3765.15","15097.18","232363.24","258181.38","x86","Intel(R) Xeon(R) Platinum",32,128,0,4000000,16384000,""
"中国（香港）","windows","ecs.g8i.8xlarge","22.46103","14966.5","19.990316","14966.5","125718.59","4190.62","14393.03","242457.29","269396.98","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",32,128,3.2,6000000,20480000,""
"中国（香港）","windows","ecs.u2i-c1m8.8xlarge","24.1523","15092.53","24.1523","15092.53","137643.86","4225.91","17389.66","260798.91","289776.56","x86","Intel(R) Xeon(R) Platinum",32,256,0,4000000,16384000,""
"中国（香港）","windows","ecs.i4.8xlarge","30.6268","17752.12","30.6268","17752.12","181071.62","4970.59","22051.30","351491.99","404748.35","x86","Intel Xeon (Ice Lake) Platinum 8369B",32,256,3.5,6000000,25600000,""
"中国（香港）","windows","ecs.gn8is-2x.8xlarge","50.991582","26932.45","50.991582","26932.45","323189.39","7541.09","36713.94","969568.18","1615946.97","gpu","Intel Xeon(Sapphire Rapid) Gold 6462C",32,256,3.9,7500000,32768000,"2  * NVIDIA L20"
"中国（香港）","windows","ecs.hfr8i.8xlarge","27.646865","17734.18","27.646865","17734.18","148967.14","4965.57","19905.74","287293.78","319215.3","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",32,256,3.9,7500000,32768000,""
"中国（香港）","windows","ecs.r8a.8xlarge","23.908","14302.26","21.27812","14302.26","120139.02","4004.64","15320.25","231696.7","257440.77","x86","AMD EPYC™ Genoa 9T24",32,256,3.7,3000000,10240000,""
"中国（香港）","windows","ecs.r8i.8xlarge","25.97175","16781.37","23.114857","16781.37","140963.54","4698.79","16642.70","271858.27","302064.73","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",32,256,3.2,6000000,20480000,""
"中国（香港）","windows","ecs.r8y.8xlarge","20.6372","12642.43","20.6372","12642.43","106196.43","3539.88","14858.78","204807.4","227563.77","arm","YiTian710",32,256,2.75,5000000,16384000,""
"中国（香港）","windows","ecs.u2a-c1m2.12xlarge","26.9628","16478.94","26.9628","16478.94","150287.92","4614.1","19413.22","284756.05","316395.61","x86","AMD EPYC",48,96,0,4000000,13312000,""
"中国（香港）","windows","ecs.c8a.12xlarge","28.0822","17719.11","24.993158","17719.11","148840.51","4961.35","17995.07","287049.55","318943.95","x86","AMD EPYC™ Genoa 9T24",48,96,3.7,4500000,16384000,""
"中国（香港）","windows","ecs.c8i.12xlarge","30.080518","20000.44","26.771661","20000.44","168003.66","5600.12","19275.60","324007.06","360007.85","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",48,96,3.2,9000000,25600000,""
"中国（香港）","windows","ecs.g8i.12xlarge","33.691545","22449.75","29.985475","22449.75","188577.89","6285.93","21589.54","363685.92","404095.47","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",48,192,3.2,9000000,25600000,""
"中国（香港）","windows","ecs.g8a.12xlarge","31.2485","19238.93","27.811165","19238.93","161607.0","5386.9","20024.04","311670.63","346300.71","x86","AMD EPYC™ Genoa 9T24",48,192,3.7,4500000,16384000,""
"中国（香港）","windows","ecs.u2a-c1m4.12xlarge","29.8652","17907.93","29.8652","17907.93","163320.32","5014.22","21502.94","309449.02","343832.24","x86","AMD EPYC",48,192,0,4000000,13312000,""
"中国（香港）","windows","ecs.r8a.12xlarge","35.862","21453.4","31.91718","21453.4","180208.54","6006.95","22980.37","347545.03","386161.15","x86","AMD EPYC™ Genoa 9T24",48,384,3.7,4500000,16384000,""
"中国（香港）","windows","ecs.r8i.12xlarge","38.957625","25172.06","34.672286","25172.06","211445.31","7048.18","24964.05","407787.39","453097.1","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",48,384,3.2,9000000,25600000,""
"中国（香港）","windows","ecs.c8y.16xlarge","32.5082","21061.14","32.5082","21061.14","176913.59","5897.12","23405.90","341190.51","379100.56","arm","YiTian710",64,128,2.75,10000000,32768000,""
"中国（香港）","windows","ecs.c8i.16xlarge","40.107358","26667.25","35.695548","26667.25","224004.88","7466.83","25700.79","432009.42","480010.47","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",64,128,3.2,12000000,32768000,""
"中国（香港）","windows","ecs.u2a-c1m2.16xlarge","35.9504","21971.91","35.9504","21971.91","200383.89","6152.14","25884.29","379674.73","421860.81","x86","AMD EPYC",64,128,0,5000000,16384000,""
"中国（香港）","windows","ecs.c8a.16xlarge","37.4429","23625.48","33.324181","23625.48","198454.01","6615.14","23993.41","382732.74","425258.6","x86","AMD EPYC™ Genoa 9T24",64,128,3.7,6000000,20480000,""
"中国（香港）","windows","ecs.hfc8i.16xlarge","42.273973","27883.32","42.273973","27883.32","234219.86","7807.33","30437.26","451709.74","501899.71","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",64,128,3.9,15000000,65536000,""
"中国（香港）","windows","ecs.hfg8i.16xlarge","47.570145","31475.64","47.570145","31475.64","264395.39","8813.18","34250.50","509905.4","566561.55","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",64,256,3.9,15000000,65536000,""
"中国（香港）","windows","ecs.u2a-c1m4.16xlarge","39.8202","23877.24","39.8202","23877.24","217760.43","6685.63","28670.54","412598.68","458442.99","x86","AMD EPYC",64,256,0,5000000,16384000,""
"中国（香港）","windows","ecs.g8y.16xlarge","36.1608","22720.46","36.1608","22720.46","190851.88","6361.72","26035.78","368071.48","408968.31","arm","YiTian710",64,256,2.75,10000000,32768000,""
"中国（香港）","windows","ecs.g8i.16xlarge","44.922059","29933.0","39.980633","29933.0","251437.18","8381.24","28786.06","484914.57","538793.96","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",64,256,3.2,12000000,32768000,""
"中国（香港）","windows","ecs.g8a.16xlarge","41.6647","25651.9","37.081583","25651.9","215475.99","7182.54","26698.74","415560.85","461734.27","x86","AMD EPYC™ Genoa 9T24",64,256,3.7,6000000,20480000,""
"中国（香港）","windows","ecs.r8i.16xlarge","51.943499","33562.75","46.229714","33562.75","281927.08","9397.57","33285.39","543716.52","604129.47","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",64,512,3.2,12000000,32768000,""
"中国（香港）","windows","ecs.hfr8i.16xlarge","55.293729","35468.37","55.293729","35468.37","297934.28","9931.15","39811.48","574587.54","638430.61","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",64,512,3.9,15000000,65536000,""
"中国（香港）","windows","ecs.r8a.16xlarge","47.816","28604.53","42.55624","28604.53","240278.05","8009.27","30640.49","463393.38","514881.53","x86","AMD EPYC™ Genoa 9T24",64,512,3.7,6000000,20480000,""
"中国（香港）","windows","ecs.i4.16xlarge","61.2536","35504.24","61.2536","35504.24","362143.26","9941.19","44102.59","702983.96","809496.69","x86","Intel Xeon (Ice Lake) Platinum 8369B",64,512,3.5,12000000,51200000,""
"中国（香港）","windows","ecs.gn8is-4x.16xlarge","101.973165","53864.89","101.973165","53864.89","646378.67","15082.17","73420.68","1939136.01","3231893.34","gpu","Intel Xeon(Sapphire Rapid) Gold 6462C",64,512,3.9,15000000,65536000,"4  * NVIDIA L20"
"中国（香港）","windows","ecs.r8y.16xlarge","41.2745","25284.87","41.2745","25284.87","212392.86","7079.76","29717.64","409614.8","455127.55","arm","YiTian710",64,512,2.75,10000000,32768000,""
"中国（香港）","windows","ecs.c8i.24xlarge","60.161037","40000.87","53.543323","40000.87","336007.33","11200.25","38551.19","648014.14","720015.7","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",96,192,3.2,18000000,51200000,""
"中国（香港）","windows","ecs.c8a.24xlarge","56.1644","35438.22","49.986316","35438.22","297681.02","9922.71","35990.15","574099.12","637887.9","x86","AMD EPYC™ Genoa 9T24",96,192,3.7,9000000,32768000,""
"中国（香港）","windows","ecs.g8a.24xlarge","62.497","38477.86","55.62233","38477.86","323214.0","10773.8","40048.08","623341.28","692601.41","x86","AMD EPYC™ Genoa 9T24",96,384,3.7,9000000,32768000,""
"中国（香港）","windows","ecs.g8i.24xlarge","67.383089","44899.5","59.970949","44899.5","377155.78","12571.86","43179.08","727371.85","808190.95","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",96,384,3.2,18000000,51200000,""
"中国（香港）","windows","ecs.r8a.24xlarge","71.7238","42906.74","63.834182","42906.74","360416.62","12013.89","45960.61","695089.19","772321.32","x86","AMD EPYC™ Genoa 9T24",96,768,3.7,9000000,32768000,""
"中国（香港）","windows","ecs.c8a.32xlarge","74.8859","47250.96","66.648451","47250.96","396908.03","13230.26","47986.88","765465.48","850517.2","x86","AMD EPYC™ Genoa 9T24",128,256,3.7,12000000,40960000,""
"中国（香港）","windows","ecs.hfc8i.32xlarge","84.547947","55766.63","84.547947","55766.63","468439.73","15614.65","60874.52","903419.47","1003799.41","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",128,256,3.9,30000000,102400000,""
"中国（香港）","windows","ecs.g8a.32xlarge","83.3293","51303.81","74.163077","51303.81","430951.99","14365.06","53397.42","831121.69","923468.55","x86","AMD EPYC™ Genoa 9T24",128,512,3.7,12000000,40960000,""
"中国（香港）","windows","ecs.hfg8i.32xlarge","95.140291","62951.28","95.140291","62951.28","528790.78","17626.36","68501.01","1019810.79","1133123.11","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",128,512,3.9,30000000,102400000,""
"中国（香港）","windows","ecs.hfr8i.32xlarge","110.587459","70936.73","110.587459","70936.73","595868.57","19862.28","79622.97","1149175.08","1276861.21","x86","Intel Xeon(Sapphire Rapid) Platinum 6462C",128,1024,3.9,30000000,102400000,""
"中国（香港）","windows","ecs.ebmgn8is.32xlarge","189.112848","100609.72","189.112848","100609.72","1207316.61","28170.72","136161.25","3621949.82","6036583.03","gpu","Intel Xeon(Sapphire Rapid) Gold 6462C",128,1024,3.9,30000000,174080000,"8  * NVIDIA L20"
"中国（香港）","windows","ecs.r8a.32xlarge","95.6319","57209.06","85.112391","57209.06","480556.1","16018.53","61280.92","926786.76","1029763.07","x86","AMD EPYC™ Genoa 9T24",128,1024,3.7,12000000,40960000,""
"中国（香港）","windows","ecs.i4.32xlarge","122.5071","71008.48","122.5071","71008.48","724286.52","19882.37","88205.11","1405967.93","1618993.37","x86","Intel Xeon (Ice Lake) Platinum 8369B",128,1024,3.5,24000000,102400000,""
"中国（香港）","windows","ecs.gn8is-8x.32xlarge","189.131208","100618.53","189.131208","100618.53","1207422.36","28173.19","136174.47","3622267.08","6037111.8","gpu","Intel Xeon(Sapphire Rapid) Gold 6462C",128,1024,3.9,30000000,102400000,"8  * NVIDIA L20"
"中国（香港）","windows","ecs.c8a.48xlarge","112.3289","70876.43","99.972721","70876.43","595362.04","19845.4","71980.36","1148198.23","1275775.81","x86","AMD EPYC™ Genoa 9T24",192,384,3.7,18000000,65536000,""
"中国（香港）","windows","ecs.ebmc8i.48xlarge","123.4173","79919.1","123.4173","79919.1","959029.23","22377.35","88860.46","2877087.69","4795146.15","ebm","Intel Xeon(Sapphire Rapid) Platinum 8475B",192,512,3.2,30000000,102400000,""
"中国（香港）","windows","ecs.c8i.48xlarge","123.4173","79919.1","109.841397","79919.1","671320.46","22377.35","79085.81","1294689.46","1438543.84","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",192,512,3.2,30000000,102400000,""
"中国（香港）","windows","ecs.g8a.48xlarge","124.9941","76955.71","111.244749","76955.71","646427.98","21547.6","80096.22","1246682.55","1385202.82","x86","AMD EPYC™ Genoa 9T24",192,768,3.7,18000000,65536000,""
"中国（香港）","windows","ecs.g8i.48xlarge","151.018864","96612.66","134.406789","96612.66","811546.36","27051.55","96772.89","1565125.14","1739027.93","x86","Intel Xeon(Sapphire Rapid) Platinum 8475B",192,1024,3.2,30000000,102400000,""
"中国（香港）","windows","ecs.ebmg8i.48xlarge","151.018864","96612.66","151.018864","96612.66","1159351.95","27051.55","108733.58","3478055.86","5796759.76","ebm","Intel Xeon(Sapphire Rapid) Platinum 8475B",192,1024,3.2,30000000,102400000,""
"中国（香港）","windows","ecs.c7nex.large","1.423095","941.73","1.266555","941.73","7910.52","263.69","911.92","15256.02","16951.13","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,4,3.5,1800000,3072000,""
"中国（香港）","windows","ecs.c7.large","1.253828","846.72","1.115907","846.72","7112.48","237.09","803.45","13716.93","15241.04","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,4,3.5,1100000,2048000,""
"中国（香港）","windows","ecs.hfc7.large","1.5015","901.89","1.336335","901.89","7575.85","252.52","962.16","14610.57","16233.96","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",2,4,3.8,900000,1228800,""
"中国（香港）","windows","ecs.c7a.large","0.9435","566.95","0.9435","566.95","5238.62","158.74","679.32","10205.1","10205.1","x86","AMD EPYC™ Milan 7T83",2,4,3.5,900000,1024000,""
"中国（香港）","windows","ecs.g7.large","1.404288","948.78","1.249816","948.78","7969.74","265.66","899.87","15370.21","17078.02","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,8,3.5,1100000,2048000,""
"中国（香港）","windows","ecs.g7nex.large","1.61117","1069.3","1.433941","1069.3","8982.1","299.41","1032.44","17322.62","19247.36","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,8,3.5,1800000,3072000,""
"中国（香港）","windows","ecs.g7a.large","1.2155","712.22","1.081795","712.22","6580.95","199.42","778.89","12820.02","12820.02","x86","AMD EPYC™ Milan 7T83",2,8,3.5,900000,1024000,""
"中国（香港）","windows","ecs.hfg7.large","1.743","1008.16","1.55127","1008.16","8468.52","282.28","1116.91","16332.15","18146.84","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",2,8,3.8,900000,1228800,""
"中国（香港）","windows","ecs.g7se.large","1.614931","1091.1","1.437289","1091.1","9165.2","305.51","1034.85","17675.75","19639.73","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,8,3.5,450000,1228800,""
"中国（香港）","windows","ecs.g7t.large","1.475","996.22","1.31275","996.22","8368.23","278.94","945.18","16138.74","17931.92","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,8,3.5,900000,2048000,""
"中国（香港）","windows","ecs.r7.large","1.623708","1062.21","1.4451","1062.21","8922.55","297.42","1040.47","17207.77","19119.75","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,16,3.5,1100000,2048000,""
"中国（香港）","windows","ecs.r7se.large","1.9102","1249.66","1.700078","1249.66","10497.12","349.91","1224.06","20244.45","22493.83","x86","Intel Xeon (Ice Lake) Platinum 8369B",2,16,3.5,450000,1228800,""
"中国（香港）","windows","ecs.hfr7.large","2.016","1122.11","1.79424","1122.11","9425.75","314.19","1291.85","18178.24","20198.05","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",2,16,3.8,900000,1228800,""
"中国（香港）","windows","ecs.r7a.large","1.377","768.4","1.22553","768.4","7100.01","215.15","882.38","13831.2","13831.2","x86","AMD EPYC™ Milan 7T83",2,16,3.5,900000,1024000,""
"中国（香港）","windows","ecs.c7nex.xlarge","2.846191","1883.46","2.53311","1883.46","15821.06","527.37","1823.84","30512.04","33902.27","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,8,3.5,2700000,5120000,""
"中国（香港）","windows","ecs.c7.xlarge","2.507657","1693.45","2.231815","1693.45","14224.97","474.16","1606.91","27433.87","30482.07","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,8,3.5,1100000,3072000,""
"中国（香港）","windows","ecs.c7a.xlarge","1.88615","1133.9","1.88615","1133.9","10477.24","317.5","1358.03","20410.2","20410.2","x86","AMD EPYC™ Milan 7T83",4,8,3.5,1000000,1536000,""
"中国（香港）","windows","ecs.hfc7.xlarge","3.003","1803.78","2.67267","1803.78","15151.7","505.06","1924.32","29221.14","32467.93","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",4,8,3.8,1000000,2048000,""
"中国（香港）","windows","ecs.sgn7i-vws-m2s.xlarge","3.472593","1666.84","3.472593","1666.84","17001.82","466.72","2500.27","33003.53","38004.06","gpu","Intel Xeon (Ice Lake) Platinum 8369B",4,8,3.5,500000,1536000,"1  * NVIDIA A10*1/12"
"中国（香港）","windows","ecs.sgn7i-vws-m2.xlarge","3.472593","1666.84","3.472593","1666.84","17001.82","466.72","2500.27","33003.53","38004.06","gpu","Intel Xeon (Ice Lake) Platinum 8369B",4,15.5,3.5,500000,1536000,"1  * NVIDIA A10*1/12"
"中国（香港）","windows","ecs.g7nex.xlarge","3.222339","2138.6","2.867882","2138.6","17964.21","598.8","2064.88","34645.26","38494.73","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,16,3.5,2700000,5120000,""
"中国（香港）","windows","ecs.g7a.xlarge","2.4395","1424.44","2.171155","1424.44","13161.81","398.85","1563.23","25639.89","25639.89","x86","AMD EPYC™ Milan 7T83",4,16,3.5,1000000,1536000,""
"中国（香港）","windows","ecs.hfg7.xlarge","3.486","2016.31","3.10254","2016.31","16937.05","564.56","2233.83","32664.3","36293.67","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",4,16,3.8,1000000,2048000,""
"中国（香港）","windows","ecs.g7t.xlarge","2.949","1992.44","2.62461","1992.44","16736.46","557.88","1889.72","32277.46","35863.85","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,16,3.5,1000000,3072000,""
"中国（香港）","windows","ecs.g7se.xlarge","3.229863","2182.2","2.874577","2182.2","18330.41","611.02","2069.70","35351.51","39279.45","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,16,3.5,500000,2048000,""
"中国（香港）","windows","ecs.g7.xlarge","2.808576","1897.56","2.499633","1897.56","15939.49","531.31","1799.74","30740.44","34156.04","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,16,3.5,1100000,3072000,""
"中国（香港）","windows","ecs.r7a.xlarge","2.7455","1537.65","2.443495","1537.65","14207.88","430.54","1759.32","27677.7","27677.7","x86","AMD EPYC™ Milan 7T83",4,32,3.5,1000000,1536000,""
"中国（香港）","windows","ecs.hfr7.xlarge","4.032","2244.23","3.58848","2244.23","18851.52","628.38","2583.71","36356.49","40396.1","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",4,32,3.8,1000000,2048000,""
"中国（香港）","windows","ecs.r7se.xlarge","3.8205","2499.31","3.400245","2499.31","20994.24","699.8","2448.18","40488.9","44987.67","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,32,3.5,500000,2048000,""
"中国（香港）","windows","ecs.r7.xlarge","3.247416","2124.42","2.8902","2124.42","17845.11","594.83","2080.94","34415.56","38239.51","x86","Intel Xeon (Ice Lake) Platinum 8369B",4,32,3.5,1100000,3072000,""
"中国（香港）","windows","ecs.hfc7.2xlarge","6.006","3607.55","5.34534","3607.55","30303.4","1010.12","3848.64","58442.28","64935.87","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",8,16,3.8,1600000,3072000,""
"中国（香港）","windows","ecs.c7nex.2xlarge","5.692382","3766.92","5.06622","3766.92","31642.12","1054.74","3647.68","61024.08","67804.54","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,16,3.5,4800000,10240000,""
"中国（香港）","windows","ecs.c7.2xlarge","5.015315","3386.9","4.46363","3386.9","28449.94","948.33","3213.81","54867.73","60964.16","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,16,3.5,1600000,5120000,""
"中国（香港）","windows","ecs.c7a.2xlarge","3.7723","2267.8","3.7723","2267.8","20954.47","634.98","2716.06","40820.4","40820.4","x86","AMD EPYC™ Milan 7T83",8,16,3.5,1600000,2560000,""
"中国（香港）","windows","ecs.sgn7i-vws-m4s.2xlarge","6.47525","3108.12","6.47525","3108.12","31702.82","870.27","4662.18","61540.78","70865.14","gpu","Intel Xeon (Ice Lake) Platinum 8369B",8,16,3.5,1000000,2662400,"1  * NVIDIA A10*1/6"
"中国（香港）","windows","ecs.gn7i-c8g1.2xlarge","19.924968","9563.98","19.924968","9563.98","97552.65","2677.92","14345.98","189366.9","218058.85","gpu","Intel Xeon (Ice Lake) Platinum 8369B",8,30,3.5,1600000,16384000,"1  * NVIDIA A10"
"中国（香港）","windows","ecs.sgn7i-vws-m4.2xlarge","6.47525","3108.12","6.47525","3108.12","31702.82","870.27","4662.18","61540.78","70865.14","gpu","Intel Xeon (Ice Lake) Platinum 8369B",8,31,3.5,1000000,2662400,"1  * NVIDIA A10*1/6"
"中国（香港）","windows","ecs.g7a.2xlarge","4.879","2848.87","4.34231","2848.87","26323.55","797.68","3126.46","51279.63","51279.63","x86","AMD EPYC™ Milan 7T83",8,32,3.5,1600000,2560000,""
"中国（香港）","windows","ecs.g7.2xlarge","5.617152","3795.11","4.999266","3795.11","31878.98","1062.64","3599.47","61480.88","68312.1","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,32,3.5,1600000,5120000,""
"中国（香港）","windows","ecs.hfg7.2xlarge","6.972","4032.63","6.20508","4032.63","33874.09","1129.14","4467.66","65328.61","72587.34","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",8,32,3.8,1600000,3072000,""
"中国（香港）","windows","ecs.g7nex.2xlarge","6.444679","4277.19","5.735765","4277.19","35928.42","1197.62","4129.75","69290.51","76989.47","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,32,3.5,4800000,10240000,""
"中国（香港）","windows","ecs.g7t.2xlarge","5.898","3984.87","5.24922","3984.87","33472.92","1115.76","3779.44","64554.92","71727.7","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,32,3.5,1600000,5120000,""
"中国（香港）","windows","ecs.g7se.2xlarge","6.459725","4364.38","5.749155","4364.38","36660.83","1222.02","4139.39","70703.02","78558.91","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,32,3.5,800000,3072000,""
"中国（香港）","windows","ecs.hfr7.2xlarge","8.064","4488.46","7.17696","4488.46","37703.04","1256.77","5167.41","72712.98","80792.2","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",8,64,3.8,1600000,3072000,""
"中国（香港）","windows","ecs.r7se.2xlarge","7.641","4998.63","6.80049","4998.63","41988.49","1399.62","4896.35","80977.79","89975.33","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,64,3.5,800000,3072000,""
"中国（香港）","windows","ecs.r7.2xlarge","6.494832","4248.83","5.780401","4248.83","35690.22","1189.68","4161.89","68831.12","76479.03","x86","Intel Xeon (Ice Lake) Platinum 8369B",8,64,3.5,1600000,5120000,""
"中国（香港）","windows","ecs.r7a.2xlarge","5.4995","3074.45","4.894555","3074.45","28407.92","860.85","3524.08","55340.1","55340.1","x86","AMD EPYC™ Milan 7T83",8,64,3.5,1600000,2560000,""
"中国（香港）","windows","ecs.hfc7.3xlarge","9.009","5411.32","8.01801","5411.32","45455.11","1515.17","5772.97","87663.42","97403.79","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",12,24,3.8,2000000,4608000,""
"中国（香港）","windows","ecs.c7.3xlarge","7.522972","5080.35","6.695445","5080.35","42674.91","1422.5","4820.72","82301.61","91446.23","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,24,3.5,2400000,8192000,""
"中国（香港）","windows","ecs.g7.3xlarge","8.425728","5692.68","7.498898","5692.68","47818.47","1593.95","5399.21","92221.33","102468.14","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,48,3.5,2400000,8192000,""
"中国（香港）","windows","ecs.g7se.3xlarge","9.689587","6546.58","8.623732","6546.58","54991.24","1833.04","6209.09","106054.53","117838.35","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,48,3.5,1200000,4608000,""
"中国（香港）","windows","ecs.g7t.3xlarge","8.847","5977.31","7.87383","5977.31","50209.39","1673.64","5669.16","96832.39","107591.54","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,48,3.5,2400000,8192000,""
"中国（香港）","windows","ecs.hfg7.3xlarge","10.458","6048.95","9.30762","6048.95","50811.14","1693.7","6701.49","97992.91","108881.01","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",12,48,3.8,2000000,4608000,""
"中国（香港）","windows","ecs.r7se.3xlarge","11.4615","7497.94","10.200735","7497.94","62982.73","2099.42","7344.53","121466.69","134962.99","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,96,3.5,1200000,4608000,""
"中国（香港）","windows","ecs.hfr7.3xlarge","12.096","6732.69","10.76544","6732.69","56554.54","1885.15","7751.12","109069.47","121188.32","x86","Intel Xeon Platinum (Cooper Lake) 8369HB/8369HC",12,96,3.8,2000000,4608000,""
"中国（香港）","windows","ecs.r7.3xlarge","9.742248","6373.26","8.670601","6373.26","53535.32","1784.51","6242.83","103246.69","114718.55","x86","Intel Xeon (Ice Lake) Platinum 8369B",12,96,3.5,2400000,8192000,""
"中国（香港）","windows","ecs.c7.4xlarge","10.030628","6773.79","8.927259","6773.79","56899.87","1896.66","6427.63","109735.48","121928.31","x86","Intel Xeon (Ice Lake) Platinum 8369B",16,32,3.5,3000000,10240000,""
"中国（香港）","windows","ecs.c7nex.4xlarge","11.384763","7533.84","10.132439","7533.84","63284.24","2109.47","7295.36","122048.17","135609.08","x86","Intel Xeon (Ice Lake) Platinum 8369B",16,32,3.5,7500000,20480000,""
"中国（香港）","windows","ecs.c7a.4xlarge","7.5446","4535.6","7.5446","4535.6","41908.94","1269.97","5432.11","81640.8","81640.8","x86","AMD EPYC™ Milan 7T83",16,32,3.5,2000000,5120000,""
